,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3
2014-10-21,1.3765049807141194,1.377439129813034,1.3783637400426814,-1.3765049807141194,-1.377439129813034,-1.3783637400426814
2014-10-22,1.3113452886219745,1.3129274469370988,1.3144934364384406,-1.3113452886219745,-1.3129274469370988,-1.3144934364384406
2014-10-23,1.3214053637087821,1.3229802202001828,1.324539045967403,-1.3214053637087821,-1.3229802202001828,-1.324539045967403
2014-10-24,1.2457725383519591,1.2480893678129217,1.2503825883407351,-1.2457725383519591,-1.2480893678129217,-1.2503825883407351
2014-10-27,1.144587648298457,1.1479389120243564,1.1512560268390155,-1.144587648298457,-1.1479389120243564,-1.1512560268390155
2014-10-28,1.1614236750120617,1.1645733824959217,1.167690938809188,-1.1614236750120617,-1.1645733824959217,-1.167690938809188
2014-10-29,1.0677037617258474,1.0717742858154762,1.0758031680430826,-1.0677037617258474,-1.0717742858154762,-1.0758031680430826
2014-10-30,1.0082353920301461,1.01291788243034,1.017552466333026,-1.0082353920301461,-1.01291788243034,-1.017552466333026
2014-10-31,1.034091240606935,1.038477950568305,1.0428196736427773,-1.034091240606935,-1.038477950568305,-1.0428196736427773
2014-11-03,0.9500229204183903,0.9552531661958557,0.9604296578161506,-0.9500229204183903,-0.9552531661958557,-0.9604296578161506
2014-11-04,0.8834657015745522,0.8893866192236308,0.8952467214483474,-0.8834657015745522,-0.8893866192236308,-0.8952467214483474
2014-11-05,0.8365129764070233,0.8428935536330435,0.8492083954995095,-0.8365129764070233,-0.8428935536330435,-0.8492083954995095
2014-11-06,0.7801565529358304,0.7871028685349728,0.7939774206290889,-0.7801565529358304,-0.7871028685349728,-0.7939774206290889
2014-11-07,0.7200537878532253,0.7276142992523433,0.7350965146416525,-0.7200537878532253,-0.7276142992523433,-0.7350965146416525
2014-11-10,0.6713702833702887,0.6794298249024123,0.6874056536575684,-0.6713702833702887,-0.6794298249024123,-0.6874056536575684
2014-11-11,0.6214584056228529,0.6300349552708453,0.6385221209971295,-0.6214584056228529,-0.6300349552708453,-0.6385221209971295
2014-11-12,0.5774758595739377,0.5865148061783894,0.5954592551053913,-0.5774758595739377,-0.5865148061783894,-0.5954592551053913
2014-11-13,0.5362834298122523,0.545761383486296,0.5551399167695705,-0.5362834298122523,-0.545761383486296,-0.5551399167695705
2014-11-14,0.49900879886300364,0.5088901939235839,0.5186676078193406,-0.49900879886300364,-0.5088901939235839,-0.5186676078193406
2014-11-17,0.4651302617854833,0.4753850488993324,0.4855315862423714,-0.4651302617854833,-0.4753850488993324,-0.4855315862423714
2014-11-18,0.4527377908592368,0.46314294743166784,0.4734379413663978,-0.4527377908592368,-0.46314294743166784,-0.4734379413663978
2014-11-19,0.4266477962585226,0.4373521072547556,0.44794278255369346,-0.4266477962585226,-0.4373521072547556,-0.44794278255369346
2014-11-20,0.4015556910712172,0.4125411881970591,0.42340986572830774,-0.4015556910712172,-0.4125411881970591,-0.42340986572830774
2014-11-21,0.39617335936773534,0.4072347915908252,0.41817837507034916,-0.39617335936773534,-0.4072347915908252,-0.41817837507034916
2014-11-24,0.37661604327949016,0.387906363251585,0.39907623649527507,-0.37661604327949016,-0.387906363251585,-0.39907623649527507
2014-11-25,0.35700477934462804,0.36851577747691333,0.3799038866083399,-0.35700477934462804,-0.36851577747691333,-0.3799038866083399
2014-11-26,0.34106512477055606,0.35276111497668494,0.36433214237840256,-0.34106512477055606,-0.35276111497668494,-0.36433214237840256
2014-11-28,0.33042758920546345,0.3422493883744834,0.3539448559979944,-0.33042758920546345,-0.3422493883744834,-0.3539448559979944
2014-12-01,0.3602338957016513,0.3717486690147762,0.383140406692849,-0.3602338957016513,-0.3717486690147762,-0.383140406692849
2014-12-02,0.36972336242350073,0.38114218815576106,0.39243908464060195,-0.36972336242350073,-0.38114218815576106,-0.39243908464060195
2014-12-03,0.3582233086717252,0.3697563796410558,0.38116623329158633,-0.3582233086717252,-0.3697563796410558,-0.38116623329158633
2014-12-04,0.34063649567057386,0.35236066036650787,0.3639595513647412,-0.34063649567057386,-0.35236066036650787,-0.3639595513647412
2014-12-05,0.3231016870499566,0.3350057187180236,0.34678269432314657,-0.3231016870499566,-0.3350057187180236,-0.34678269432314657
2014-12-08,0.35965302528153203,0.37115429394120003,0.382533048529335,-0.35965302528153203,-0.37115429394120003,-0.382533048529335
2014-12-09,0.3394649197024665,0.35116663134385934,0.36274397412994025,-0.3394649197024665,-0.35116663134385934,-0.36274397412994025
2014-12-10,0.5732728575400834,0.5824943194421307,0.591617560217007,-0.5732728575400834,-0.5824943194421307,-0.591617560217007
2014-12-11,0.5457789261421123,0.5552727937073171,0.5646658112197395,-0.5457789261421123,-0.5552727937073171,-0.5646658112197395
2014-12-12,0.7544104468635731,0.7617661204556041,0.7690419197401398,-0.7544104468635731,-0.7617661204556041,-0.7690419197401398
2014-12-15,0.7365035428598113,0.7440257037472002,0.7514662734204891,-0.7365035428598113,-0.7440257037472002,-0.7514662734204891
2014-12-16,0.7526907104358562,0.7601844178820423,0.7675963149663636,-0.7526907104358562,-0.7601844178820423,-0.7675963149663636
2014-12-17,1.0396087419943927,1.0439518225468214,1.0482475162946105,-1.0396087419943927,-1.0439518225468214,-1.0482475162946105
2014-12-18,1.4382683021841345,1.4382635839692615,1.4382589172357163,-1.4382683021841345,-1.4382635839692615,-1.4382589172357163
2014-12-19,1.332845379928249,1.3341630468236048,1.335466293877303,-1.332845379928249,-1.3341630468236048,-1.335466293877303
2014-12-22,1.2323625226660337,1.235006104161997,1.2376207397911887,-1.2323625226660337,-1.235006104161997,-1.2376207397911887
2014-12-23,1.1244836523586956,1.1282550949754953,1.1319852252020457,-1.1244836523586956,-1.1282550949754953,-1.1319852252020457
2014-12-24,1.0272132819400897,1.0320007839889906,1.0367358023645314,-1.0272132819400897,-1.0320007839889906,-1.0367358023645314
2014-12-26,0.946625590188755,0.9522476755332555,0.9578080624551722,-0.946625590188755,-0.9522476755332555,-0.9578080624551722
2014-12-29,0.8677040457803081,0.8741504811094998,0.8805260783379247,-0.8677040457803081,-0.8741504811094998,-0.8805260783379247
2014-12-30,0.8228795408564274,0.8297846028969698,0.8366136854761488,-0.8228795408564274,-0.8297846028969698,-0.8366136854761488
2014-12-31,0.8608240395361132,0.867278931268779,0.8736626734716758,-0.8608240395361132,-0.867278931268779,-0.8736626734716758
2015-01-02,0.7914501302219514,0.7986522120167299,0.8057748196501443,-0.7914501302219514,-0.7986522120167299,-0.8057748196501443
2015-01-05,1.042119380551933,1.04656584593692,1.0509632935572486,-1.042119380551933,-1.04656584593692,-1.0509632935572486
2015-01-06,1.0324878945129061,1.0370089273454448,1.0414800285201053,-1.0324878945129061,-1.0370089273454448,-1.0414800285201053
2015-01-07,1.0554901991478873,1.0598493424439894,1.0641606807064232,-1.0554901991478873,-1.0598493424439894,-1.0641606807064232
2015-01-08,1.2334968611314534,1.235896684505243,1.2382701868309465,-1.2334968611314534,-1.235896684505243,-1.2382701868309465
2015-01-09,1.1973624867172228,1.2001680816905722,1.202942910780015,-1.1973624867172228,-1.2001680816905722,-1.202942910780015
2015-01-12,1.161012557774305,1.1642942871471957,1.1675401412416275,-1.161012557774305,-1.1642942871471957,-1.1675401412416275
2015-01-13,1.0694244650019888,1.0736906253020422,1.0779101243128268,-1.0694244650019888,-1.0736906253020422,-1.0779101243128268
2015-01-14,1.0141784618171203,1.0190321999659155,1.0238328160638157,-1.0141784618171203,-1.0190321999659155,-1.0238328160638157
2015-01-15,1.0134064849352566,1.0182318633398266,1.0230043287235033,-1.0134064849352566,-1.0182318633398266,-1.0230043287235033
2015-01-16,1.0756833553391,1.0798035902003746,1.0838785863411984,-1.0756833553391,-1.0798035902003746,-1.0838785863411984
2015-01-20,0.9853674712130106,0.9904766405778884,0.9955297126303373,-0.9853674712130106,-0.9904766405778884,-0.9955297126303373
2015-01-21,0.9190494829238948,0.9249062450215894,0.9306987873490087,-0.9190494829238948,-0.9249062450215894,-0.9306987873490087
2015-01-22,1.0358868538929964,1.0404283042347513,1.0449198427008173,-1.0358868538929964,-1.0404283042347513,-1.0449198427008173
2015-01-23,0.9804977643227192,0.9856241991195647,0.9906941770060489,-0.9804977643227192,-0.9856241991195647,-0.9906941770060489
