,h.1,h.2,h.3,ngtv_h.1,ngtv_h.2,ngtv_h.3,sqrt_h.1,sqrt_h.2,sqrt_h.3,sqrt_ngtv_h.1,sqrt_ngtv_h.2,sqrt_ngtv_h.3
1999-04-16,1.3060068133844747,1.3002103604848243,1.2944396340654585,-1.3060068133844747,-1.3002103604848243,-1.2944396340654585,1.1428065511644894,1.1402676705426775,1.13773443037708,-1.1428065511644894,-1.1402676705426775,-1.13773443037708
1999-04-19,1.2560846870959361,1.2499282877532745,1.2438020626099813,-1.2560846870959361,-1.2499282877532745,-1.2438020626099813,1.1207518401037475,1.1180019175982099,1.1152587424494735,-1.1207518401037475,-1.1180019175982099,-1.1152587424494735
1999-04-20,1.202306251516742,1.1957947173830419,1.1893184489547488,-1.202306251516742,-1.1957947173830419,-1.1893184489547488,1.096497264710105,1.0935239903097882,1.0905587783126358,-1.096497264710105,-1.0935239903097882,-1.0905587783126358
1999-04-21,1.3944085328989966,1.3908221958742648,1.3872727278806396,-1.3944085328989966,-1.3908221958742648,-1.3872727278806396,1.1808507665657826,1.1793312494266677,1.1778254233461933,-1.1808507665657826,-1.1793312494266677,-1.1778254233461933
1999-04-22,1.3984591430115754,1.395142037408254,1.3918623182179264,-1.3984591430115754,-1.395142037408254,-1.3918623182179264,1.1825646464407666,1.1811613088008994,1.1797721467376343,-1.1825646464407666,-1.1811613088008994,-1.1797721467376343
1999-04-23,1.5501028609905108,1.549527652671775,1.548973068747285,-1.5501028609905108,-1.549527652671775,-1.548973068747285,1.2450312690814278,1.2448002460924303,1.244577465948699,-1.2450312690814278,-1.2448002460924303,-1.244577465948699
1999-04-26,1.5758069963070835,1.5754295226866768,1.5750673486421525,-1.5758069963070835,-1.5754295226866768,-1.5750673486421525,1.2553115136519235,1.2551611540701364,1.255016871855575,-1.2553115136519235,-1.2551611540701364,-1.255016871855575
1999-04-27,1.5271690801307338,1.52639746449056,1.525649740304926,-1.5271690801307338,-1.52639746449056,-1.525649740304926,1.2357868263299838,1.2354745907911502,1.2351719476675813,-1.2357868263299838,-1.2354745907911502,-1.2351719476675813
1999-04-28,1.4613850404781688,1.4596726180833872,1.4579939132308988,-1.4613850404781688,-1.4596726180833872,-1.4579939132308988,1.2088775953247577,1.2081691181632592,1.2074741873973533,-1.2088775953247577,-1.2081691181632592,-1.2074741873973533
1999-04-29,1.3651923590575974,1.3610350726288152,1.3569029185786192,-1.3651923590575974,-1.3610350726288152,-1.3569029185786192,1.168414463731769,1.166634078290539,1.1648617594283963,-1.168414463731769,-1.166634078290539,-1.1648617594283963
1999-04-30,1.337618292753957,1.3327728877105902,1.3279450347799486,-1.337618292753957,-1.3327728877105902,-1.3279450347799486,1.1565544919085988,1.1544578327988382,1.1523649746412585,-1.1565544919085988,-1.1544578327988382,-1.1523649746412585
1999-05-03,1.3019433133019627,1.2968597958416597,1.2917961273483853,-1.3019433133019627,-1.2968597958416597,-1.2917961273483853,1.1410273061158365,1.138797521880716,1.136572095094889,-1.1410273061158365,-1.138797521880716,-1.136572095094889
1999-05-04,1.2653959200246376,1.2600835223512041,1.2547934273038543,-1.2653959200246376,-1.2600835223512041,-1.2547934273038543,1.1248981820701096,1.122534419227849,1.1201756234197628,-1.1248981820701096,-1.122534419227849,-1.1201756234197628
1999-05-05,1.2784968459813133,1.2733514219566566,1.2682267089470105,-1.2784968459813133,-1.2733514219566566,-1.2682267089470105,1.1307063482537423,1.128428740309576,1.1261557214466438,-1.1307063482537423,-1.128428740309576,-1.1261557214466438
1999-05-06,1.376115110468823,1.3732073297534133,1.370332340750019,-1.376115110468823,-1.3732073297534133,-1.370332340750019,1.173079328293199,1.1718392934841422,1.1706119513955164,-1.173079328293199,-1.1718392934841422,-1.1706119513955164
1999-05-07,1.35165342094362,1.348189957114925,1.3447560841960973,-1.35165342094362,-1.348189957114925,-1.3447560841960973,1.162606305222718,1.1611158241600728,1.1596361861360214,-1.162606305222718,-1.1611158241600728,-1.1596361861360214
1999-05-10,1.3610838453151042,1.358009457232706,1.3549663740835167,-1.3610838453151042,-1.358009457232706,-1.3549663740835167,1.166654981267,1.1653366282893136,1.164030229024795,-1.166654981267,-1.1653366282893136,-1.164030229024795
1999-05-11,1.3103219844568208,1.3058291814087155,1.3013562557326788,-1.3103219844568208,-1.3058291814087155,-1.3013562557326788,1.1446929651469082,1.1427288310919241,1.140770027539591,-1.1446929651469082,-1.1427288310919241,-1.140770027539591
1999-05-12,1.2629023795658019,1.2579242874095633,1.2529658179020466,-1.2629023795658019,-1.2579242874095633,-1.2529658179020466,1.1237892950040955,1.1215722390508618,1.119359557024483,-1.1237892950040955,-1.1215722390508618,-1.119359557024483
1999-05-13,1.2503473543306025,1.2453403951417146,1.2403534861554601,-1.2503473543306025,-1.2453403951417146,-1.2403534861554601,1.118189319538781,1.1159482045066942,1.113711581225346,-1.118189319538781,-1.1159482045066942,-1.113711581225346
1999-05-14,1.2104283560907134,1.2052096716647593,1.2000134873290276,-1.2104283560907134,-1.2052096716647593,-1.2000134873290276,1.1001946900847657,1.0978204186772804,1.0954512710883253,-1.1001946900847657,-1.0978204186772804,-1.0954512710883253
